age,sex,job,housing,years,saving_account,checking_account,credit_amount,duration,purpose,risk
28,female,3,own,3.0,little,little,3349,36.0,furniture/equipment,0.0
35,female,2,free,0.5,little,little,1198,6.0,education,0.0
47,male,2,free,1.5,little,little,1984,18.0,furniture/equipment,1.0
54,female,3,rent,1.25,little,little,3568,15.0,radio/TV,0.0
34,male,1,own,0.5,little,little,1898,6.0,radio/TV,1.0
23,male,2,own,4.0,little,moderate,15672,48.0,business,0.0
28,female,2,rent,2.0,quite rich,moderate,4113,24.0,car,0.0
66,male,0,free,1.0,quite rich,rich,1480,12.0,car,0.0
24,male,1,rent,2.0,little,little,3021,24.0,furniture/equipment,1.0
70,male,3,free,0.833333333,little,moderate,7308,10.0,car,1.0
38,male,2,free,2.0,little,rich,947,24.0,car,0.0
32,male,2,own,1.0,little,moderate,6078,12.0,car,1.0
33,male,2,own,2.0,moderate,little,2359,24.0,furniture/equipment,0.0
29,male,2,rent,3.75,little,little,11816,45.0,business,0.0
23,female,2,rent,2.0,little,little,1442,24.0,car,0.0
25,male,2,own,1.0,little,little,1262,12.0,radio/TV,1.0
24,male,2,own,4.0,moderate,moderate,6560,48.0,car,0.0
28,male,2,own,1.5,little,moderate,1887,18.0,business,1.0
24,male,2,own,0.75,little,moderate,2030,9.0,furniture/equipment,1.0
39,male,3,own,2.0,little,moderate,11938,24.0,vacation/others,0.0
59,female,2,rent,4.0,little,moderate,6416,48.0,business,0.0
27,male,1,own,0.833333333,little,little,1309,10.0,car,0.0
47,male,2,free,3.0,little,little,8335,36.0,car,0.0
36,male,2,free,0.583333333,little,little,846,7.0,radio/TV,1.0
32,male,1,own,0.833333333,little,little,1231,10.0,car,1.0
26,female,2,own,1.0,quite rich,little,1386,12.0,car,0.0
27,male,2,own,3.0,little,moderate,2820,36.0,car,0.0
34,male,2,own,1.5,little,little,2320,18.0,radio/TV,1.0
25,female,2,rent,2.0,little,little,3972,24.0,furniture/equipment,1.0
40,female,2,rent,1.5,little,moderate,3001,18.0,furniture/equipment,1.0
24,male,1,rent,1.0,little,little,1768,12.0,furniture/equipment,1.0
36,male,2,own,2.25,little,moderate,3915,27.0,business,0.0
27,male,2,own,0.75,little,moderate,1391,9.0,business,1.0
38,male,1,own,1.0,little,little,708,12.0,furniture/equipment,1.0
29,female,0,rent,2.0,little,little,1193,24.0,car,0.0
48,male,2,own,2.0,little,little,1024,24.0,radio/TV,0.0
24,female,2,own,2.5,little,moderate,2150,30.0,car,0.0
24,female,1,rent,2.5,little,little,4811,30.0,car,1.0
24,female,2,rent,1.5,little,little,2124,18.0,furniture/equipment,0.0
24,female,2,own,1.5,little,little,3190,18.0,radio/TV,0.0
34,male,3,free,2.0,little,little,2910,24.0,car,1.0
23,female,2,rent,0.833333333,little,little,2146,10.0,furniture/equipment,1.0
27,male,2,own,3.0,little,little,2613,36.0,repairs,1.0
35,male,2,rent,0.75,little,moderate,1919,9.0,furniture/equipment,1.0
38,female,3,free,1.5,little,moderate,12976,18.0,car,0.0
20,female,2,own,0.916666667,rich,moderate,1577,11.0,furniture/equipment,1.0
36,male,2,free,2.0,little,moderate,2760,24.0,car,1.0
34,male,2,own,1.5,moderate,moderate,2622,18.0,business,1.0
35,male,2,own,3.0,little,little,5842,36.0,car,1.0
32,male,2,free,0.75,rich,moderate,1136,9.0,education,0.0
27,male,2,own,3.333333333,little,little,5998,40.0,education,0.0
20,female,2,rent,1.0,little,little,4675,12.0,car,1.0
21,female,2,own,5.0,moderate,little,10144,60.0,radio/TV,1.0
52,male,2,own,1.0,little,little,717,12.0,radio/TV,1.0
33,male,2,own,0.5,rich,little,1543,6.0,furniture/equipment,1.0
25,male,0,own,1.5,little,little,2473,18.0,furniture/equipment,0.0
35,male,2,own,1.0,moderate,little,2141,12.0,radio/TV,1.0
27,male,1,own,1.25,little,little,2708,15.0,furniture/equipment,1.0
25,male,2,rent,1.25,moderate,moderate,1264,15.0,car,0.0
23,female,1,rent,3.0,little,little,6229,36.0,furniture/equipment,0.0
56,male,2,free,3.5,little,rich,4796,42.0,car,1.0
35,female,2,own,2.0,little,little,1381,24.0,car,0.0
27,female,1,own,1.25,little,little,3643,15.0,furniture/equipment,1.0
33,female,3,own,1.0,little,rich,1474,12.0,furniture/equipment,1.0
67,female,3,own,0.75,little,moderate,1199,9.0,education,0.0
46,female,1,own,1.0,little,rich,2251,12.0,furniture/equipment,1.0
26,male,2,own,3.0,little,rich,4210,36.0,radio/TV,0.0
23,female,2,own,1.5,little,little,1943,18.0,repairs,0.0
31,male,1,own,2.5,little,little,3108,30.0,furniture/equipment,0.0
45,male,2,free,3.5,little,little,7882,42.0,furniture/equipment,1.0
61,male,3,free,3.0,little,moderate,1953,36.0,business,0.0
24,female,2,rent,2.0,little,little,1207,24.0,car,0.0
24,male,2,free,4.0,little,little,4605,48.0,car,0.0
28,female,2,rent,1.25,little,little,1403,15.0,car,1.0
47,male,3,own,0.5,little,moderate,1209,6.0,car,0.0
54,male,2,own,1.0,little,little,1409,12.0,car,1.0
36,male,3,free,1.5,little,little,5302,18.0,car,1.0
23,female,2,own,1.25,moderate,little,3812,15.0,car,1.0
41,male,1,own,1.75,quite rich,little,2580,21.0,business,0.0
29,female,2,own,1.25,little,little,3959,15.0,car,0.0
21,male,2,rent,1.0,little,little,902,12.0,education,0.0
30,female,3,own,4.0,little,moderate,5096,48.0,furniture/equipment,0.0
37,male,1,own,1.0,little,moderate,1922,12.0,furniture/equipment,0.0
28,male,2,own,2.0,little,little,4169,24.0,furniture/equipment,1.0
36,male,2,own,1.0,little,little,1372,12.0,car,0.0
28,male,2,own,0.5,little,moderate,1068,6.0,radio/TV,1.0
40,male,3,own,1.5,little,moderate,7374,18.0,furniture/equipment,1.0
24,male,1,rent,2.0,little,little,1546,24.0,radio/TV,0.0
37,male,2,own,1.25,little,moderate,802,15.0,radio/TV,0.0
34,male,1,own,0.5,moderate,little,1743,6.0,business,1.0
65,male,2,free,1.5,little,little,2600,18.0,radio/TV,0.0
25,male,2,own,1.0,little,moderate,1484,12.0,radio/TV,0.0
23,female,2,rent,3.0,little,little,7127,36.0,furniture/equipment,0.0
34,male,3,own,1.25,moderate,moderate,6850,15.0,car,0.0
29,male,3,rent,2.0,moderate,little,1901,24.0,radio/TV,1.0
58,female,1,free,4.0,little,little,6143,48.0,car,0.0
45,female,1,own,3.0,little,little,3835,36.0,radio/TV,1.0
35,male,2,own,1.0,quite rich,little,1680,12.0,radio/TV,1.0
33,female,2,rent,1.5,little,little,3966,18.0,car,0.0
23,female,2,own,1.75,little,little,2288,21.0,furniture/equipment,1.0
36,male,3,rent,1.666666667,little,moderate,7057,20.0,car,1.0
26,female,1,rent,1.75,little,little,3599,21.0,furniture/equipment,1.0
40,male,1,rent,0.833333333,quite rich,little,1597,10.0,car,1.0
31,male,2,own,2.5,little,little,6350,30.0,furniture/equipment,0.0
31,male,2,own,2.0,little,little,4817,24.0,car,0.0
47,male,1,own,0.666666667,little,little,731,8.0,car,0.0
24,female,1,own,1.0,little,little,626,12.0,radio/TV,0.0
25,female,3,own,1.8154269972376034,little,little,8065,21.785123966942148,education,0.0
26,male,2,own,1.75,little,little,3414,21.0,education,0.0
31,male,2,rent,2.0,little,little,3161,24.0,business,0.0
44,male,2,rent,0.5,quite rich,little,2647,6.0,radio/TV,1.0
35,male,2,own,2.0,moderate,little,4151,24.0,furniture/equipment,1.0
50,female,2,free,3.0,moderate,moderate,2671,36.0,radio/TV,0.0
27,female,2,rent,0.833333333,little,little,2132,10.0,furniture/equipment,1.0
24,female,2,free,2.0,little,moderate,5743,24.0,education,1.0
30,male,2,own,1.0,little,moderate,639,12.0,repairs,0.0
22,female,2,rent,1.5,little,little,433,18.0,radio/TV,0.0
37,male,2,own,2.0,moderate,moderate,3878,24.0,car,1.0
23,male,2,rent,1.0,little,moderate,1534,12.0,radio/TV,0.0
20,female,2,rent,1.5,little,little,2039,18.0,furniture/equipment,0.0
55,female,2,own,2.0,little,little,1603,24.0,radio/TV,1.0
41,male,1,own,1.0,little,little,719,12.0,education,0.0
25,male,2,own,2.0,little,little,1258,24.0,business,1.0
23,female,2,rent,0.75,little,little,1236,9.0,domestic appliances,1.0
40,male,1,rent,1.0,little,little,684,12.0,education,0.0
26,male,3,own,2.0,quite rich,little,3235,24.0,radio/TV,1.0
43,male,2,free,2.0,little,little,1333,24.0,car,0.0
61,male,2,own,1.25,rich,moderate,1512,15.0,repairs,0.0
23,male,0,own,0.5,little,moderate,14555,6.0,car,0.0
23,female,2,rent,1.0,little,little,1200,12.0,education,1.0
30,male,2,own,1.25,little,little,4657,15.0,car,1.0
20,female,2,own,2.0,little,moderate,1967,24.0,radio/TV,1.0
57,female,1,own,0.916666667,moderate,little,1154,11.0,radio/TV,1.0
36,male,2,own,1.25,quite rich,little,1262,15.0,domestic appliances,1.0
19,female,2,rent,0.75,little,little,1980,9.0,furniture/equipment,0.0
25,female,2,rent,1.0,little,moderate,2969,12.0,furniture/equipment,0.0
25,male,1,own,1.0,little,moderate,685,12.0,car,0.0
26,male,2,own,0.833333333,little,little,2069,10.0,furniture/equipment,1.0
34,male,2,own,4.0,little,little,6999,48.0,radio/TV,0.0
38,male,1,own,1.0,little,little,1495,12.0,car,1.0
42,female,2,rent,1.0,rich,rich,409,12.0,radio/TV,1.0
34,male,1,own,1.5,little,rich,2864,18.0,furniture/equipment,0.0
39,female,2,own,0.5,little,little,860,6.0,car,1.0
22,female,2,own,0.75,little,moderate,1670,9.0,radio/TV,0.0
26,male,2,own,3.0,little,little,8229,36.0,car,0.0
42,male,2,free,0.5,moderate,little,1346,6.0,radio/TV,1.0
23,female,1,own,1.0,moderate,moderate,836,12.0,car,0.0
26,female,2,rent,1.5,little,little,3114,18.0,furniture/equipment,0.0
30,female,2,own,1.5,little,little,1055,18.0,car,1.0
23,male,1,own,2.25,quite rich,moderate,2520,27.0,radio/TV,0.0
39,male,2,free,4.0,little,little,10297,48.0,car,0.0
23,female,2,rent,1.5,little,little,1216,18.0,car,0.0
29,male,2,own,0.75,moderate,moderate,1437,9.0,car,0.0
49,male,2,own,2.5,little,moderate,8386,30.0,furniture/equipment,0.0
25,male,2,own,2.0,little,little,999,24.0,radio/TV,1.0
60,female,3,free,5.0,moderate,moderate,14782,60.0,vacation/others,0.0
36,female,2,own,1.5,little,little,1028,18.0,car,1.0
34,female,3,own,2.0,little,moderate,2064,24.0,furniture/equipment,0.0
24,female,2,rent,0.5,rich,moderate,433,6.0,education,0.0
67,male,2,own,0.5,little,little,1169,6.0,radio/TV,1.0
33,male,2,own,0.75,little,little,3074,9.0,radio/TV,1.0
39,male,2,own,1.8154269972376034,little,little,2212,21.785123966942148,furniture/equipment,1.0
30,male,3,own,3.0,little,moderate,4455,36.0,business,0.0
39,female,1,own,0.5,rich,little,666,6.0,car,1.0
42,male,2,own,3.0,little,little,3446,36.0,furniture/equipment,0.0
22,female,2,rent,1.5,little,little,3650,18.0,furniture/equipment,1.0
21,female,2,rent,2.25,little,little,2570,27.0,car,0.0
54,male,2,own,4.0,little,little,3051,48.0,domestic appliances,0.0
21,female,2,rent,2.5,moderate,moderate,3441,30.0,furniture/equipment,0.0
29,male,3,rent,3.0,moderate,moderate,9034,36.0,furniture/equipment,0.0
39,male,2,free,1.25,little,rich,1271,15.0,radio/TV,0.0
25,female,2,own,1.75,little,little,1835,21.0,radio/TV,0.0
21,male,1,own,2.0,little,little,6568,24.0,business,1.0
27,male,2,own,1.25,little,little,1053,15.0,radio/TV,1.0
33,female,2,own,1.5,little,moderate,1042,18.0,car,0.0
26,female,2,own,2.0,little,little,3181,24.0,radio/TV,1.0
31,female,2,own,4.0,little,little,6758,48.0,radio/TV,0.0
26,female,1,rent,2.5,moderate,moderate,4280,30.0,business,0.0
31,male,3,free,4.0,moderate,moderate,7582,48.0,vacation/others,1.0
61,female,2,own,1.0,little,little,2012,12.0,education,1.0
38,female,2,own,1.0,little,little,1240,12.0,radio/TV,1.0
33,male,2,own,1.5,little,little,6070,18.0,radio/TV,1.0
55,male,2,own,2.0,little,little,6872,24.0,furniture/equipment,0.0
27,male,2,own,2.0,little,little,4020,24.0,furniture/equipment,1.0
29,female,1,rent,2.0,little,little,1659,24.0,radio/TV,0.0
23,female,2,rent,2.5,little,little,2406,30.0,furniture/equipment,0.0
31,male,2,own,0.5,moderate,moderate,1449,6.0,business,1.0
23,male,2,rent,1.25,rich,little,3368,15.0,car,1.0
32,female,2,rent,2.0,little,little,1285,24.0,car,0.0
35,female,2,own,1.0,little,little,1291,12.0,radio/TV,1.0
25,female,2,rent,1.833333333,little,little,1283,22.0,car,1.0
49,male,1,own,1.5,little,rich,1445,18.0,radio/TV,1.0
52,male,1,own,0.833333333,little,little,2315,10.0,radio/TV,1.0
38,female,2,own,2.0,little,little,1533,24.0,radio/TV,1.0
32,male,2,own,1.0,little,little,701,12.0,education,1.0
36,female,2,own,1.0,little,rich,2247,12.0,car,1.0
23,male,2,free,3.75,little,little,1845,45.0,radio/TV,0.0
27,male,2,own,1.0,little,little,1657,12.0,furniture/equipment,1.0
23,male,2,own,3.0,little,rich,3913,36.0,radio/TV,1.0
23,female,1,own,1.5,little,little,976,18.0,car,0.0
34,male,3,own,1.0,little,moderate,1860,12.0,car,1.0
24,female,2,own,0.666666667,little,moderate,1237,8.0,furniture/equipment,0.0
47,male,2,free,3.0,moderate,moderate,12612,36.0,education,0.0
40,male,1,own,1.75,little,little,1647,21.0,car,0.0
35,male,2,free,1.0,little,little,3386,12.0,car,0.0
25,female,2,own,3.0,little,little,7855,36.0,car,0.0
30,female,3,own,3.0,little,moderate,4795,36.0,radio/TV,1.0
28,female,2,rent,1.25,moderate,moderate,2631,15.0,car,0.0
26,female,2,own,1.0,little,little,763,12.0,furniture/equipment,1.0
48,male,1,rent,0.833333333,little,little,2241,10.0,car,1.0
20,male,2,own,2.0,little,little,2996,24.0,furniture/equipment,0.0
25,female,2,rent,1.5,little,little,1882,18.0,radio/TV,0.0
36,male,3,rent,2.0,moderate,moderate,6967,24.0,business,1.0
42,male,2,own,1.5,little,little,4153,18.0,furniture/equipment,0.0
52,female,1,own,0.5,moderate,little,362,6.0,car,1.0
36,male,2,own,1.5,little,little,4165,18.0,business,0.0
42,female,3,free,2.25,little,moderate,8318,27.0,business,0.0
43,female,1,own,1.25,little,little,1459,15.0,radio/TV,1.0
28,male,3,rent,3.0,little,moderate,9398,36.0,car,0.0
32,male,2,own,1.5,little,little,1530,18.0,car,0.0
28,male,2,own,1.0,little,little,1108,12.0,repairs,0.0
29,female,2,own,2.0,little,little,915,24.0,car,0.0
47,male,1,own,1.5,little,little,1217,18.0,domestic appliances,0.0
23,male,2,own,1.083333333,little,moderate,882,13.0,radio/TV,1.0
55,female,0,free,1.5,little,little,1190,18.0,repairs,0.0
58,male,2,rent,4.5,little,moderate,15945,54.0,business,0.0
50,male,2,own,2.0,rich,little,3777,24.0,furniture/equipment,1.0
31,male,2,own,3.0,little,rich,4473,36.0,radio/TV,1.0
24,male,2,rent,3.0,little,moderate,2323,36.0,radio/TV,1.0
28,male,1,rent,1.5,little,moderate,6260,18.0,car,1.0
44,female,1,rent,1.0,little,rich,1881,12.0,radio/TV,1.0
48,male,2,own,2.25,little,little,5190,27.0,repairs,1.0
55,male,2,free,1.0,rich,little,1555,12.0,repairs,0.0
28,male,2,own,1.5,little,little,2169,18.0,business,0.0
53,male,2,own,1.8154269972376034,quite rich,little,2835,21.785123966942148,furniture/equipment,1.0
27,male,2,own,1.25,quite rich,moderate,2326,15.0,business,1.0
25,female,2,rent,1.0,little,moderate,1295,12.0,car,0.0
27,male,2,own,2.25,rich,little,8613,27.0,car,1.0
35,male,3,rent,3.0,little,moderate,6948,36.0,car,1.0
54,male,2,own,1.0,rich,moderate,1318,12.0,car,1.0
37,male,1,own,0.833333333,little,rich,3949,10.0,car,1.0
42,female,2,own,3.0,little,moderate,3804,36.0,radio/TV,0.0
23,female,0,rent,0.5,quite rich,little,1352,6.0,car,1.0
24,male,2,own,3.0,little,little,9629,36.0,car,0.0
34,male,1,own,2.5,little,little,11998,30.0,repairs,0.0
36,male,1,own,0.5,little,little,1374,6.0,furniture/equipment,1.0
36,male,2,own,1.5,little,moderate,884,18.0,car,0.0
48,male,2,own,0.75,little,little,2134,9.0,car,1.0
25,female,2,rent,2.0,little,little,1371,24.0,car,0.0
25,female,1,own,2.0,little,moderate,4736,24.0,furniture/equipment,0.0
26,male,2,own,1.8154269972376034,little,little,5117,21.785123966942148,business,1.0
43,male,2,own,1.5,little,moderate,2899,18.0,car,1.0
35,male,2,own,2.0,quite rich,little,2397,24.0,radio/TV,0.0
31,female,2,own,0.5,little,little,1957,6.0,radio/TV,1.0
47,male,1,own,1.0,little,moderate,958,12.0,car,1.0
26,male,2,own,2.0,little,rich,1925,24.0,furniture/equipment,1.0
24,female,1,rent,1.5,moderate,little,1568,18.0,business,1.0
44,male,2,free,4.0,quite rich,little,10127,48.0,car,0.0
50,male,2,own,1.0,little,little,1574,12.0,furniture/equipment,1.0
23,female,3,own,1.5,little,rich,1961,18.0,car,1.0
68,male,0,free,1.333333333,little,moderate,1175,16.0,car,1.0
24,female,3,own,5.0,moderate,moderate,7408,60.0,car,0.0
25,male,2,rent,1.5,quite rich,moderate,3213,18.0,radio/TV,1.0
28,male,2,own,1.5,rich,little,2659,18.0,furniture/equipment,1.0
57,male,2,free,3.0,little,moderate,2225,36.0,car,0.0
29,female,2,own,1.75,little,little,5003,21.0,car,0.0
33,male,2,rent,1.25,little,little,950,15.0,car,0.0
56,male,2,own,1.0,little,little,618,12.0,radio/TV,1.0
26,male,2,own,1.0,little,little,1076,12.0,business,1.0
46,male,2,free,0.833333333,quite rich,little,727,10.0,education,1.0
35,female,2,own,2.0,little,little,2439,24.0,radio/TV,0.0
24,male,2,own,3.0,little,rich,5848,36.0,radio/TV,1.0
42,male,3,free,4.0,little,little,7763,48.0,car,0.0
22,male,2,own,1.0,rich,moderate,1007,12.0,car,1.0
27,female,2,rent,1.5,little,moderate,1924,18.0,furniture/equipment,0.0
35,male,2,own,1.166666667,quite rich,moderate,1410,14.0,business,1.0
61,male,2,free,1.5,little,moderate,1239,18.0,education,1.0
29,male,2,free,1.0,little,little,2149,12.0,radio/TV,0.0
32,male,2,own,0.5,quite rich,little,2978,6.0,furniture/equipment,1.0
37,male,2,own,1.5,little,rich,2100,18.0,radio/TV,0.0
39,male,1,own,0.916666667,little,little,7228,11.0,car,1.0
38,male,3,own,1.5,little,little,3229,18.0,car,1.0
28,male,2,own,3.0,little,little,9572,36.0,business,0.0
43,male,2,own,1.5,little,little,2515,18.0,furniture/equipment,1.0
39,male,2,own,1.5,little,little,1473,18.0,radio/TV,1.0
32,male,2,own,2.0,little,little,1938,24.0,radio/TV,0.0
30,female,2,own,1.5,moderate,little,1864,18.0,education,0.0
25,male,2,own,4.0,little,moderate,14421,48.0,business,0.0
39,male,1,own,0.666666667,little,little,3398,8.0,car,1.0
25,male,2,own,2.5,little,little,8072,30.0,business,1.0
48,male,2,own,0.75,moderate,little,1288,9.0,repairs,1.0
63,male,2,own,1.25,little,little,1520,15.0,furniture/equipment,1.0
34,male,3,own,0.75,little,rich,1337,9.0,radio/TV,0.0
25,female,1,own,1.25,little,rich,2327,15.0,radio/TV,0.0
35,male,2,rent,0.5,moderate,little,1204,6.0,car,1.0
43,male,1,own,1.5,little,little,1533,18.0,furniture/equipment,0.0
26,female,3,own,3.0,little,little,10974,36.0,furniture/equipment,0.0
